Timestamp,CarOrdinalID,CarClass,CarPerformanceIndex,DriveTrainType,NumCylinders,EngineMaxRPM,EngineIdleRPM,EngineCurrentRPM,Speed,Power,Torque,Boost,Gear,Accel,Brake,Clutch,HandBrake,Fuel,roundedCurrentRPM,roundedPower,roundedTorque
2024-02-16 23:35:32.818641,3655,6,807,1,8,9500,800,3669.6082,53,0.0,0.0,-11.0248,3,0,100,0,0,1.0,3670,0,0
2024-02-16 23:46:29.871866,3655,6,807,1,8,9500,800,3673.6326,54,0.0,0.0,-11.025,3,0,100,0,0,1.0,3674,0,0
2024-02-16 23:42:30.944698,3655,6,807,1,8,9500,800,3681.0952,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3681,0,0
2024-02-16 23:35:32.802491,3655,6,807,1,8,9500,800,3685.1079,54,0.0,0.0,-11.0247,3,0,100,0,0,1.0,3685,0,0
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,53,0.0,0.0,0.0,3,0,0,0,0,0.0,3691,0,0
2024-02-16 23:34:25.583062,3655,6,807,1,8,9500,800,3695.7732,52,0.0,0.0,-11.025,3,0,100,0,0,1.0,3696,0,0
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,53,0.0,0.0,0.0,3,0,0,0,0,0.0,3697,0,0
2024-02-16 23:34:25.566515,3655,6,807,1,8,9500,800,3699.7139,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3700,0,0
1/31/2024 01:00:01,3655,6,807,1,8,9500,800,,55,0.0,0.0,0.0,3,0,0,0,0,0.0,3704,0,0
2024-02-16 23:35:29.202142,3655,6,807,1,8,9500,800,3704.5476,54,0.0,0.0,-11.0128,3,0,100,0,0,1.0,3705,0,0
2024-02-16 23:35:29.186112,3655,6,807,1,8,9500,800,3706.8423,54,0.0,0.0,-11.0093,3,0,100,0,0,1.0,3707,0,0
2024-02-16 23:35:32.784939,3655,6,807,1,8,9500,800,3708.6331,54,0.0,0.0,-11.0246,3,0,100,0,0,1.0,3709,0,0
2024-02-16 23:35:29.335349,3655,6,807,1,8,9500,800,3710.6707,51,61.4228,87.7716,-10.9118,3,41,100,0,0,1.0,3711,61,88
2024-02-16 23:35:29.219174,3655,6,807,1,8,9500,800,3712.3032,54,0.0,0.0,-11.0156,3,0,100,0,0,1.0,3712,0,0
2024-02-16 23:42:30.895200,3655,6,807,1,8,9500,800,3713.0808,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3713,0,0
2024-02-16 23:45:46.297052,3655,6,807,1,8,9500,800,3713.9202,56,0.0,0.0,-10.0764,3,0,100,0,0,1.0,3714,0,0
2024-02-16 23:45:46.313576,3655,6,807,1,8,9500,800,3718.0049,55,0.0,0.0,-10.2902,3,0,100,0,0,1.0,3718,0,0
2024-02-16 23:35:29.237558,3655,6,807,1,8,9500,800,3721.3481,53,0.0,0.0,-11.0177,3,0,100,0,0,1.0,3721,0,0
2024-02-16 23:35:29.087960,3655,6,807,1,8,9500,800,3721.5684,57,0.0,0.0,-10.9524,3,0,100,0,0,1.0,3722,0,0
2024-02-16 23:34:25.532785,3655,6,807,1,8,9500,800,3724.074,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3724,0,0
2024-02-16 23:46:29.854793,3655,6,807,1,8,9500,800,3734.1187,54,0.0,0.0,-11.025,3,0,100,0,0,1.0,3734,0,0
2024-02-16 23:42:30.878164,3655,6,807,1,8,9500,800,3737.554,53,0.0,0.0,-11.025,3,0,100,0,0,1.0,3738,0,0
2024-02-16 23:37:35.655631,3655,6,807,1,8,9500,800,3745.4111,54,0.0,0.0,-11.0213,3,0,100,0,0,1.0,3745,0,0
